Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00574274, 0.0016443, 0.00266226, 0.00254365, 92193, 15899, 548826
0.00836192, 0.0016836, 0.00244666, 0.00281064, 91961, 15539, 497904
0.00581974, 0.00165412, 0.00249082, 0.00257834, 90991, 15275, 568137
0.00665863, 0.00180459, 0.00280276, 0.00309076, 96483, 16812, 601470
0.00889132, 0.00214571, 0.00312928, 0.00323897, 99625, 18580, 636894
0.00627326, 0.00188324, 0.00297509, 0.00272197, 100828, 18951, 602085
0.00746767, 0.00187855, 0.00245166, 0.00279571, 100893, 17854, 606144
0.00662643, 0.00217063, 0.00253827, 0.00275654, 100469, 17031, 561372
0.00792903, 0.00179061, 0.0022791, 0.00326773, 100950, 15382, 717090
0.00683758, 0.00240865, 0.00255875, 0.00287136, 102026, 14742, 621888
0.00930375, 0.0018747, 0.00274421, 0.00402798, 102751, 14856, 910077
0.00663795, 0.00187944, 0.00281931, 0.00300089, 103025, 14699, 682281
0.00854653, 0.00170698, 0.00239251, 0.00389739, 101467, 13808, 865059
0.00588975, 0.00176741, 0.00265754, 0.00267981, 101892, 13841, 600855
0.00562136, 0.00174217, 0.00244692, 0.00242567, 96464, 13988, 543168
0.00858309, 0.00160493, 0.00228382, 0.00403385, 91653, 14139, 861246
0.00529047, 0.00165353, 0.00260153, 0.00226574, 93748, 15113, 496059
0.00515801, 0.00170201, 0.00257391, 0.00215205, 93233, 15052, 440832
0.0052401, 0.00167931, 0.00241625, 0.00225914, 92866, 14755, 469368
0.00708488, 0.00182021, 0.00246867, 0.00226635, 96008, 14980, 461988
0.00550318, 0.00173909, 0.00250767, 0.00244915, 96562, 15273, 514017
0.00682752, 0.00179069, 0.00280754, 0.00242334, 92578, 15717, 472443
0.00716565, 0.00204847, 0.00301496, 0.00250851, 92375, 17005, 509343
0.00641284, 0.00185954, 0.0033789, 0.00291504, 96743, 18523, 633204
0.00868278, 0.00197675, 0.00392084, 0.00354061, 99722, 20353, 765798
0.00942262, 0.00220991, 0.00429095, 0.00378767, 100894, 21751, 832833
0.00881302, 0.00213886, 0.00414718, 0.00421406, 101282, 21549, 822009
0.0077958, 0.00208559, 0.00343398, 0.00351513, 100467, 20166, 817950
0.00934076, 0.00189194, 0.00340944, 0.00491589, 99534, 18503, 1.20196e+06
0.0092617, 0.00231361, 0.00333706, 0.0045754, 98414, 18029, 1.16198e+06
0.00926621, 0.0018626, 0.00374485, 0.00489185, 96258, 18177, 1.21438e+06
0.00985808, 0.00183019, 0.00388594, 0.00543727, 92367, 18533, 1.32373e+06
0.0113481, 0.00188083, 0.00563916, 0.00646022, 93701, 19646, 1.30897e+06
0.00909507, 0.00206725, 0.00416652, 0.00451462, 92284, 20298, 1.07564e+06
0.00920223, 0.00249128, 0.00395082, 0.00422502, 91168, 20604, 988674
0.00840757, 0.00197866, 0.00333811, 0.00405923, 92005, 20173, 980433
0.0101664, 0.00179558, 0.00275483, 0.00456755, 89436, 17564, 958416
0.00580702, 0.00165808, 0.00242501, 0.00255638, 88492, 15798, 595443
0.00868808, 0.00162583, 0.00223825, 0.00380566, 91035, 14662, 860385
0.00805592, 0.00168433, 0.00178235, 0.00333529, 92873, 13922, 755097
0.00804231, 0.00158974, 0.00180209, 0.0034144, 91777, 13475, 768381
0.0051114, 0.00154726, 0.00179386, 0.00219345, 90543, 13056, 503439
0.00860834, 0.00158234, 0.00143623, 0.0037621, 89251, 12570, 807987
0.00448071, 0.00155781, 0.00147508, 0.001782, 88296, 12331, 367278
0.00453098, 0.00155356, 0.00110478, 0.00181643, 87235, 11873, 425457
0.00361856, 0.00140441, 0.00114106, 0.00125204, 84223, 11337, 281547
0.0039491, 0.00129156, 0.00105356, 0.00155454, 76848, 10369, 361128
0.00501809, 0.00125909, 0.00108354, 0.00139631, 72276, 9931, 308730
0.00355505, 0.00118143, 0.00115001, 0.00138986, 70591, 9991, 317340
0.00556355, 0.001268, 0.00136943, 0.0017502, 69613, 10216, 385236
0.00527945, 0.00133061, 0.00147185, 0.00147891, 69508, 10817, 313527
0.00424075, 0.00135963, 0.00136177, 0.00174018, 70347, 11165, 400242
0.00440061, 0.00125799, 0.00113191, 0.00186492, 71175, 11232, 459159
0.0041923, 0.00120998, 0.00107192, 0.00182042, 68674, 10735, 434928
0.00401649, 0.00104909, 0.000926176, 0.0017682, 56499, 9315, 440955
0.00445748, 0.000841151, 0.0008932, 0.00215739, 41435, 8142, 549072
0.0049585, 0.000603007, 0.000892849, 0.00272276, 27129, 7307, 700608
0.00518894, 0.000443019, 0.000833148, 0.00296986, 16577, 6100, 779943
0.00682862, 0.000370656, 0.00067679, 0.00266424, 11272, 4792, 664692
0.00442945, 0.000267128, 0.00061899, 0.00235201, 8431, 3809, 591507
0.00529708, 0.000183103, 0.000454061, 0.00315379, 7008, 3186, 854850
0.00483372, 0.000178601, 0.000435648, 0.00298312, 6492, 2802, 790767
0.00652821, 0.000180052, 0.000460952, 0.0039833, 6404, 2598, 884124
0.00375604, 0.0001679, 0.000435267, 0.00202427, 6668, 2509, 535296
0.00608501, 0.000188974, 0.000537246, 0.0028374, 6960, 2555, 640215
0.00338503, 0.000158878, 0.000464482, 0.00190695, 6922, 2489, 485850
0.00301535, 0.000203426, 0.000495598, 0.0016736, 6854, 2420, 398766
0.00380902, 0.000173891, 0.000406902, 0.00136371, 6437, 2256, 345015
0.00143459, 0.000146556, 0.000367045, 0.000761604, 5732, 2124, 167526
0.00130822, 0.000133794, 0.000329268, 0.000738914, 4756, 1845, 150675
0.000402631, 0.000121702, 0.000279669, 0.00018218, 3865, 1599, 20418
